stop_id,stop_name,stop_lat,stop_lon,stop_desc,location_type,parent_station,wheelchair_boarding,vehicle_type,platform_code
NSR:Quay:100022,Hope nord,60.790205,5.034928,,,NSR:StopPlace:6647,,700,
NSR:Quay:100023,Litlås sør,60.793368,5.026605,,,NSR:StopPlace:6649,,700,
NSR:Quay:100024,Hopsvågen,60.780293,5.041870,,,NSR:StopPlace:12520,,700,
NSR:Quay:100025,Sverresplassen,60.629467,6.424300,,,NSR:StopPlace:13222,,700,
NSR:Quay:100026,Sverresplassen,60.629552,6.424155,,,NSR:StopPlace:13222,,700,
NSR:Quay:100027,Mylna,60.631315,6.429260,,,NSR:StopPlace:40287,,700,
NSR:Quay:100028,Mylna,60.630784,6.427884,,,NSR:StopPlace:40287,,700,
NSR:Quay:100029,Dammen,60.634487,6.434142,,,NSR:StopPlace:57619,,700,
NSR:Quay:100030,Dammen,60.635053,6.435341,,,NSR:StopPlace:57619,,700,
NSR:Quay:100075,Radøy ungdomsskule,60.639480,5.043962,,,NSR:StopPlace:58147,,700,
NSR:Quay:100076,Sandvikvåg ferjekai,59.968405,5.333624,,,NSR:StopPlace:30297,,1000,
NSR:Quay:100077,Hope nord,60.787889,5.038422,,,NSR:StopPlace:6647,,700,
NSR:Quay:100079,Tonningsneset,60.379493,5.344782,,,NSR:StopPlace:58148,,700,
NSR:Quay:100083,Håland nedre,59.712883,6.093981,,,NSR:StopPlace:58149,,700,
NSR:Quay:100084,Håland nedre,59.713196,6.093901,,,NSR:StopPlace:58149,,700,
NSR:Quay:100086,Nilsvikhaugane,60.332009,5.176266,,,NSR:StopPlace:58152,,700,
NSR:Quay:100087,Nilsvikhaugane,60.330918,5.177135,,,NSR:StopPlace:58152,,700,
NSR:Quay:100112,Nordnes skole,60.397754,5.308115,,,NSR:StopPlace:30890,,700,
NSR:Quay:100113,Fredriksberg,60.396192,5.310971,,,NSR:StopPlace:30887,,700,
NSR:Quay:100114,Klosteret,60.394909,5.315354,,,NSR:StopPlace:30885,,700,
NSR:Quay:100228,Sjøfarendes aldershjem,60.398778,5.305145,,,NSR:StopPlace:30892,,700,
NSR:Quay:100269,Kartveit aust,60.629061,5.100832,,,NSR:StopPlace:58560,,700,
NSR:Quay:100270,Kartveit aust,60.628818,5.100825,,,NSR:StopPlace:58560,,700,
NSR:Quay:100459,Nattland skole,60.337658,5.373347,,,NSR:StopPlace:58704,,700,
NSR:Quay:100486,Alvøen bru N,60.357696,5.191445,,,NSR:StopPlace:58716,,700,
NSR:Quay:100487,Alvøen bru N,60.358376,5.192022,,,NSR:StopPlace:58716,,700,
NSR:Quay:100488,Alvøen skole,60.362749,5.194312,,,NSR:StopPlace:58717,,700,
NSR:Quay:100489,Fristad,60.364833,5.195184,,,NSR:StopPlace:58718,,700,
NSR:Quay:100490,Fristad,60.363875,5.194827,,,NSR:StopPlace:58718,,700,
NSR:Quay:100491,Drotningsvik snuplass,60.370985,5.175770,,,NSR:StopPlace:58719,,700,
NSR:Quay:100496,Løyning kryss,59.902322,6.623318,,,NSR:StopPlace:30947,,700,
NSR:Quay:100508,Viskjer,59.834704,6.287288,,,NSR:StopPlace:30376,,700,
NSR:Quay:100520,Krokeide kryss,60.226011,5.288946,,,NSR:StopPlace:31705,,700,
